Lick,Start_Time,End_Time,Duration,Beats,Onset_Count,Activity_Score,Primary_Chord,All_Chords
19,45.348571428571425,47.85632653061224,2.507755102040818,4,17,1.0,E7,"E, E, E, E, A, A, E, E, E, E, E, E, E, E, D, D7, D7, E, E, E, E, A, A, A, A, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, Dm, Dm, D, D, D, D, B, B, B, B, Dm, F, Dm, E7, E7, E7, Dm"
20,47.85632653061224,50.41052154195011,2.5541950113378675,4,14,0.9814768017898591,E,"E7, Dm, Dm, Dm, Dm, Dm, Dm, Dm, B, B, B, B, B, B, E, E, E, E, B, B, B, D7, D7, Em, Em, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, B, B, B, B, B, B, E, E, E, E, E, E, E, E, E, E"
21,50.41052154195011,52.91827664399093,2.507755102040818,4,13,0.9522402266671351,E,"E, E, E, E, E, E, B, B, B, B, B, B, E, E7, D7, E7, E, E, B, B, A, A, Em, Em, Em, E, E, E, E, E, E, E, E7, E7, E, E, E7, E7, E7, E7, Dm, B, B, B, B, B, B, Dm, Dm, Dm, Dm, E, E, E, E, E"
22,52.91827664399093,55.42603174603175,2.507755102040818,4,13,0.9671963656178412,E,"E, E, E, E, E, E, Em, A, A, D, Dm, B, B, B, E, E, D, D, Bm, Em, Em, Em, Bm, Bb, Bb, Dm, E7, E7, E, E, E, E, E, E, E, E, E, E, E, B, B, B, B, Fm, E, E7, E7, E, E, E, E, E, E, E, E"
23,55.42603174603175,57.95700680272109,2.5309750566893428,4,13,0.9633704518839028,E,"E, E, E, E7, E7, E7, Bb, Bb, B, B, B, B, E, E, E7, E, E, E, E, E, A, A, A, B, B, B, B, E, E, B, B, E, E, E, E, E, E, E7, E7, D, D, D, A, A, Bb, E7, E7, E7, E, E, E, E, C, B, B, B"
24,57.95700680272109,60.48798185941043,2.5309750566893428,4,14,0.979188541722694,E,"B, B, E, B, B, B, Bb, A, A, Dm, Bb, B, Dm, E, E, Dm, Em, E, E, E, E, G, Fm, Fm, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, F, B, B, B, B, E, E, E, E, E7, E7, E7, B, E, E"
25,60.48798185941043,62.99573696145125,2.507755102040818,4,14,0.9673941402637125,B,"E, E, E, E, E, E, B, B, B, B, B, B, B, E, E7, E7, E7, E, E, E, E7, E7, E7, E7, E, E, B, B, B, B, B, B, E, E, E7, Dm, E7, E7, E7, E7, E7, Dm, Dm, F, B, B, B, B, E7, E7, E7, B, B, B, E, B"
26,62.99573696145125,65.50349206349206,2.507755102040811,4,12,1.0,E,"E, B, B, D, D, Bm, Bm, B, B, B, B, B, E, E, D, D, D, D, D, D, A, A, Em, Em, E, Em, Em, E, E, E, E, E, E, E, E, E, E, E, E, E, B, B, B, B, B, B, B, E, E, Em, Em, E, E, B, B, B"
27,65.50349206349206,67.98802721088435,2.484535147392293,4,14,1.0,B,"B, B, B, B, B, B, B, E, E, E, E, E, E, B, B, B, Em, Em, Em, Em, A, G, G, G, Em, Em, E, E, Dm, D, Bm, D, D, Bm, B, E7, D, D, D, D, D, D, Bm, Bm, D, D, D, E7, E7, E7, B, B, B, B, E"
28,67.98802721088435,70.49578231292517,2.507755102040818,4,15,1.0,E,"E, E, E7, D7, D, D, D, E7, E7, E7, E7, B, B, B, E, E, E, E, E, D7, A, Bm, Bm, C7, E7, Em, Em, E, E, E, E, E, E, E, E, E, E, E, E, D, D, D, E, E, B, Bm, B, E, E, E, E, E, E"
29,70.49578231292517,73.02675736961451,2.5309750566893428,4,15,1.0,D,"E, E, E, E, E, E, E, E, E, E, E, E, D, D, D, Bm, Bm, B, B, B, E, E, E, E7, E7, Em, D7, D, D, D, D, D, D, Em, B, E, E7, E7, Dm, E7, E7, Fm, Fm, D, D, D, D, E, B, D, D, D, Bm, D, D"
30,73.02675736961451,75.51129251700681,2.484535147392293,4,16,0.9792639629283085,B,"D, D, D, D, D, D, Dm, Dm, E7, E7, B, B, B, B, E7, E7, E7, B, Bb, Bb, D7, D7, G7, G7, E, E, B, B, B, B, B, E, E, E, E, E, E, B, B, B, F, E7, E7, E, E, E, B, B, B, B, B, B, E, B, B"
31,75.51129251700681,78.01904761904763,2.507755102040818,4,15,0.9581911998611949,E,"B, Bb, G, E, E, E, A, A, A, Bm, B, B, E, E, E, E, E, E, B, B, B, B, B, Fm, Fm, E, E, E7, E7, E7, E, E, D, D, D, D, D, Bm, E, E, D7, D7, A, E, E, D, D, D, E, E, E, E"
32,78.01904761904763,80.52680272108843,2.5077551020408038,4,15,1.0,B,"E, E, E, E, E, B, B, B, B, B, B, B, E, E7, D7, D7, F, B, D, D, D, D, Fm, E, E, E, E, E, B, B, B, B, D, Bm, B, B, E, E, Bm, D, D, D, D, D, D, B, B, B, E, E, E, E, B"
33,80.52680272108843,83.03455782312925,2.507755102040818,4,13,1.0,E,"B, E, E, E, E, B, B, B, B, B, B, B, B, E, E, D7, D7, D7, Em, E, E, E, E, Em, Em, Bm, D, B, B, E, E, E, E, E, B, D, D7, E7, E7, E7, E7, E, E, E, E, E7, E7, F, F, F, F, F, Dm, F, Bb"
34,83.03455782312925,85.54231292517007,2.507755102040818,4,11,1.0,E,"Bb, Bb, Bb, F, F, E7, B, B, B, B, B, B, B, B, B, E, E, B, B, B, B, B, A, A, A, D7, A, B, B, E, E, E, E, E, E, E, E, E, F, Dm, Dm, E7, Dm, Dm, Dm, Dm, E, E, E, E, E, E, E, E, E"
35,85.54231292517007,88.07328798185941,2.5309750566893428,4,13,1.0,E,"E, E, E, E, Fm, Fm, E, Fm, E, E, E, E, E, E, E, E, E, E, E, B, B, B, B, B, B, B, B, B, B, B, B, Bm, Bb, A, E, E, E, E, E, E7, E, E, G, G, Em, Em, E, D7, F, E7, E7, F, E7, E7, E7, E7"
36,88.07328798185941,90.58104308390023,2.507755102040818,4,15,1.0,E,"E7, E7, E7, Dm, D, D, D, D, D, D, D, D, D, D, E, E, B, B, Dm, Dm, B, B, B, Fm, Fm, E7, E7, E, E, E, E, E, E, E, E, F, F, F, E, E, E, F, F, F, F, F, F, E, E, E, E, E, E, E, E, E"
37,90.58104308390023,93.08879818594104,2.507755102040818,4,15,1.0,B,"E, E, E, E7, E7, E, Fm, Fm, A, B, B, Fm, E, E, D, A, Bb, Bm, Bm, Bb, B, E, E, Em, Em, E7, E7, Em, E, E7, E7, E, E, B, B, B, B, Dm, Dm, D, D, B, B, B, B, B, B, B, B, B, B, Dm, B, B, B, E"
38,93.08879818594104,95.57333333333334,2.484535147392293,4,14,1.0,B,"B, E, E, E, D7, D, Bm, Bb, B, B, B, B, B, B, Bm, B, B, E7, E7, E7, B, B, B, C, G, E, B, B, B, B, B, E, B, B, B, B, E, E, Bb, Dm, D, D, D, D, D, B, B, B, E, E, E, E, E, B, B"
39,95.57333333333334,98.05786848072562,2.484535147392279,4,16,1.0,E,"B, B, B, E, E, E, B, B, B, B, B, B, B, B, B, B, E, Em, E, E, E, E, B, E, D, D, E, E, E, E, D, D, D, E, E, E7, D, D, E7, D, Dm, Dm, Dm, D, D, D, B, B, E, E, D, D, Em, E, E"
40,98.05786848072562,100.51918367346939,2.4613151927437684,4,14,0.9625052108026564,E,"E, E, E, B, B, Bb, F, E7, E7, E7, Bb, Bb, B, B, Em, Em, Bm, Em, Em, Em, B, B, B, C, E, E, E, E, E, E, B, B, B, B, E, E, Bb, G7, Em, Em, E, E, E, E, E, E, E, E, E7, E7, B, B, B, B, B"
41,100.51918367346939,102.98049886621315,2.4613151927437684,4,14,1.0,E,"B, B, B, B, E, E, E, E, E, E, A, A, D, D, D, D, E, E, E, E, Em, Em, Em, Em, Em, Em, E, E, E, F, F, B, B, B, E7, E7, D, D, D, Dm, D, Em, E, E, E, G, D7, D7, D7, D, Bm, Bm, B, B, B"
42,102.98049886621315,105.44181405895692,2.4613151927437684,4,15,0.964740021376872,E,"B, B, B, E, E, E, E, E, E, E, B, D, D, D, D, D, A, A, Em, Bm, C, C, C, E, E, E, E, E, E, E, E, B, B, B, E, E, Bb, G7, E, E, E, E, E, E, Em, Em, E, E, E, B, B, B, B, B, B"
43,105.44181405895692,107.90312925170068,2.461315192743754,4,14,1.0,E,"B, B, B, B, E, E, E, E, B, B, D, D, D, D, D, D, E, E, E, E, E, E, E, E, E, E7, Bb, Bb, E7, E7, E7, D, F, Dm, Dm, Dm, D, Fm, B, E, E, E7, E7, E, E, E, B, B, B, B, Bm, Bm"
44,107.90312925170068,110.36444444444444,2.4613151927437684,4,13,0.9671301663504435,B,"Bm, Bm, Bm, D7, D7, E7, E, D, D, D, D, D, D, E, E, E, E, B, B, B, B, B, B, B, B, B, B, E, B, B, D, A, A, E, E, E, E, F, F, F, E, B, D, D, A, Em, E, E, B, B, B, B, B, E"
45,110.36444444444444,112.80253968253969,2.4380952380952436,4,13,0.957522211215186,B,"B, E, E, A, A, Bm, B, B, B, B, B, B, B, E, E, B, B, B, E, E, G, Bb, Bb, B, B, B, E, E, B, B, Bm, Bm, Bm, Em, D, D, D, D, Em, E, B, B, B, B, Dm, Dm, Bb, Dm, D, D, Bm, Fm, E"
46,112.80253968253969,115.24063492063492,2.4380952380952294,4,15,0.9697021863468261,E,"E, E, E, E, E, E, B, B, D, A, D, D, E, B, B, B, B, B, B, B, B, B, B, B, B, Bm, B, E, E, E, A, A, E, E, E, E, Dm, Dm, F, E, E, E, A, A, E, E, E, D, A, A, B, B"
47,115.24063492063492,117.65551020408164,2.414875283446719,4,14,0.9699118778851491,B,"B, B, B, F, F, F, B, B, B, B, B, D, B, E, E, E, E, D, D, E, E, E, E, B, Bb, Bb, E7, E7, E7, E7, Bb, Bb, B, E, Em, Em, D, D, D, Em, E, E, B, Bb, Bb, D7, D7, E7, D7, B, B, B, B, E"
48,117.65551020408164,120.09360544217687,2.4380952380952294,4,14,0.9583406529130004,E,"B, E, E, D, D, D, D, B, Bm, Bm, Bm, D, Dm, Dm, E, E, B, B, B, B, E, G, Bm, B, B, Bm, E, E, A, A, A, E, E, E, E, D, D, D, D, E, E, B, D, D, A, Em, Em, Em, A, A, A, B, B"
49,120.09360544217687,123.13541950113378,3.0418140589569163,4,19,0.9581609222488099,B,"B, B, B, D, D, D, E, E, E, A, A, D, E, B, B, B, B, B, B, B, E, E, B, B, B, C, Em, E, E7, B, B, B, E, E, E, B, Bb, D, B, B, E, B, B, B, Bb, E, E, D7, B, B, B, B, E, E, E, D, D, Bm, Bm, Em, Em, Bm, Bm, Bm, Bm, Em, E"
50,123.13541950113378,125.57351473922903,2.4380952380952436,4,14,0.964043770898139,E,"Em, E, E, B, B, Dm, D7, D7, A, D, Bb, Bb, B, B, E, E, A, A, A, B, E, E, E, D, D, D, E, E, E, B, D, Bm, B, E, Em, Em, A, A, A, B, E, E, Dm, D, D, D, E, E, E, E, E, E, E, B"
51,125.57351473922903,128.01160997732427,2.4380952380952436,4,15,0.9454261232433876,B,"B, B, B, D, D, B, E, E7, E, B, Bb, Bb, E7, E, E, E, B, B, B, E, E, E, A, D, D, Bm, B, B, B, B, B, B, E, E7, D7, D7, B, B, B, E, E, Em, Bm, Bm, Bm, Bm, Bm, Em, Bm, Bm, Bm, D, D, Dm"
52,128.01160997732427,130.6122448979592,2.600634920634917,4,7,0.9470095670015768,E,"D, Dm, Dm, Dm, E7, B, B, B, Bm, B, B, E, E, B, Dm, D, C7, E7, E, E, E, E, E, E, E, E7, E7, E7, Gm, D7, Gm, Gm, D, D, D, E, E, E, E, E, E, E, E, E, E, E, D, D, D, A, A, A, A, A, A, A, Em, Em"
53,130.6122448979592,133.2128798185941,2.600634920634917,4,7,0.9424089614974146,E7,"Em, Em, Em, E, E, E, E7, B, B, B, B, B, B, B, Gm, Gm, A, Gm, Gm, Gm, A, A, A, D7, E, B, B, B, B, B, B, B, Bm, D, D, Dm, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7"
54,133.2128798185941,135.14013605442176,1.927256235827656,4,9,1.0,E7,"E7, E7, E7, F, F, F, Dm, D, Dm, Dm, Dm, Dm, Dm, Dm, Em, E, E, E7, E7, Em, C, C, Em, E, E, E, E, E7, D7, D7, D7, G, G, G, D7, E, E, E7, E7, E7, A, Bb, Bb"
55,135.14013605442176,137.74077097505668,2.600634920634917,4,13,1.0,Em,"Bb, Bb, Bb, A, Em, E7, E7, D7, Em, E7, Em, Em, E7, E7, Em, E, Em, Em, Em, Em, Em, Em, Em, Em, D7, D7, D7, Bb, B, B, B, B, B, B, E, E, E, E, F, F, F, F, Bm, D, D, Bm, D, D, D7, Em, E, E, Fm, Fm, G, Bb, E"
56,137.74077097505668,140.29496598639454,2.5541950113378675,4,11,1.0,E,"E, E, E, E, E, E, E, E, E, E, E7, E7, E7, E7, Bm, Bm, Bm, B, B, B, B, Em, E7, E7, E7, E7, E, C, G, G, Fm, E, E, E, E, E, E, E, E, E, Fm, E, E7, E, E, E, E, E, E, E7, D7, D7, B, B, B"
57,140.29496598639454,142.84916099773244,2.554195011337896,4,11,1.0,D7,"B, D7, D7, D7, D7, D7, D7, D7, D7, D7, D7, D7, D7, D7, D7, D7, A, A, A, Em, Em, Gm, A, A, A, A, A, Bb, B, B, B, E, E, E, E, E, E, E, E, E, B, Bm, Bm, B, E, E, E, B, Bm, Cm, Cm, Cm, Cm, C, B"
58,142.84916099773244,145.42657596371882,2.577414965986378,4,11,1.0,B,"B, B, B, B, B, Em, D7, D7, D7, D7, D7, D7, D7, D7, E, A, A, E, E, E7, B, B, B, B, G, G, B, B, B, B, B, B, B, B, B, E, E, E, E, E, E7, E7, D, D, D, D, D, D, B, B, B, E, E, E, A, D"
59,145.42657596371882,147.98077097505669,2.5541950113378675,4,12,0.9750204825162123,E,"A, D, D, D, D, D, D, B, E7, E7, E7, E7, B, B, Dm, Dm, Dm, Dm, E7, E7, E7, E, E, E, E7, E7, E7, E, E, Em, Em, E, Em, Em, Em, Em, E, E, B, B, B, B, D7, B, Bm, D, D, B, E, E, E, E, E, E, E, E, E"
60,147.98077097505669,150.51174603174604,2.530975056689357,4,13,1.0,E,"E, E, E, E, E7, F, F, D7, D7, D7, D, A7, E7, E7, Bb, B, B, B, B, B, E, Em, Em, Em, Em, Em, E, E, E, E, E, E, E, E, E, E, E7, E7, E7, D, D, D, D, D, D, D, D, D, E7, E, E, E, E, E, E, E"
61,150.51174603174604,153.0659410430839,2.5541950113378675,4,12,1.0,A,"E, E, E, E, E, E, F, D, D, D, D, D, D, D, E, E, E, E, E7, E7, E7, E7, E7, E7, E7, E7, E7, E, E, D7, E7, E7, E7, E7, E7, A, A, A, A, A, A, Em, Em, Cm, A, A7, A, A, A, A, A, A, A, A, Em"
62,153.0659410430839,155.6433560090703,2.577414965986378,4,13,1.0,E,"Em, E, E, B, B, B, B, B, B, B, E7, E7, Dm, Dm, G7, Em, Em, Em, Em, Em, Em, E, E, E7, E, E, E7, Bb, Bb, Bm, B, B, E, E, E, E, E, E, E, E, E, E, E, A, B, B, B, B, E, E, E, E, B, Fm, Fm, B, B"
63,155.6433560090703,158.17433106575965,2.530975056689357,4,11,1.0,E7,"B, B, E7, E7, E, E, E, E, E7, E7, E7, E7, E7, E, B, B, B, B, B, B, B, E, E7, E7, E7, E7, E7, Bb, Bb, G7, G7, Cm, Cm, A, A, A, D7, D7, D7, A, A, A, A, Em, Em, Em, D7, D7, D7, D7, D7, D7, A, A, Bm, B"
64,158.17433106575965,160.7285260770975,2.5541950113378675,4,12,1.0,E,"B, B, B, B, Dm, E, E, E, E, B, E, E, E, E7, Em, Em, Em, Em, Em, Em, Em, Em, E, E, E7, E7, E7, E, E, Em, B, B, B, B, E, E, E, E, E7, Em, Bb, B, B, B, B, B, E, E, E, E, E, D7, D7, D, B, B"
65,160.7285260770975,163.3059410430839,2.577414965986378,4,13,1.0,E7,"B, B, E7, E7, E7, E, E, E, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E7, E, Em, Em, E7, E, B, E, A, B, B, B, E, E, E7, E7, E7, G, G, G, G, Bm, B, B, B, B, B, Dm, E, E7, E7, E7, B, B, Dm, D"
66,163.3059410430839,165.2564172335601,1.950476190476195,4,1,1.0,Em,"Dm, D, D, E7, Em, Em, Em, Em, Em, Em, Em, Em, Em, Em, Em, Em, Em, E, Em, E, E, E7, E, Em, E, E, E, Em, Em, Em, E7, E7, Bm, Bb, Bb, Bm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm"
67,165.2564172335601,167.90349206349205,2.6470748299319666,4,4,1.0,E,"Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Fm, Bm, Em, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E7, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, A, A, Em, E, E"
68,167.90349206349205,170.4344671201814,2.530975056689357,4,10,0.9771981235046466,B,"E, E, E, E, E, E, B, B, B, B, B, B, E, E, B, B, E7, E7, B, B, B, E7, E7, Dm, Dm, Dm, D, B, B, E, D7, D7, Dm, B, B, B, B, B, E, E, E, E, B, B, B, B, Bb, Bb, Bb, B, G, G, G, E7, E"
69,170.4344671201814,173.05832199546487,2.623854875283456,4,10,0.964408260254378,E,"E, Bm, D, D, D, D, Gm, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, Em, Em, Em, Em, Em, E, E, B, B, B, B, E, Em, Em, E, E, E, E, E, E, E, E, E, E, E, E, E, E"
70,173.05832199546487,175.61251700680273,2.5541950113378675,4,11,0.9875965699661288,B,"E, E, E, E, E, E, E, B, B, B, B, B, B, E, Dm, Dm, Dm, E7, B, B, B, B, B, Dm, Dm, Bb, D, D, D, F, F, F, D7, D7, Dm, B, B, B, B, E, E, E, E, C, B, B, B, Bb, Bb, Bb, B, B, G, E, E, E, D"
71,175.61251700680273,178.23637188208616,2.6238548752834276,4,9,0.9560105749680758,E,"E, D, D, D, D, D, A, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E"
72,178.23637188208616,179.420589569161,1.1842176870748347,4,5,0.9741714577049961,Dm,"E, D7, D7, Em, Em, Em, E, E, E, E, E, Dm, Dm, Dm, Dm, Dm, Dm, Dm, Dm, D, D, D, D, D, D, D"
